,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
164,IT0 0,IT0 0 onwind,wind_on,8492.368805571163,0.0,0.015,1.0,gen_wind_IT_4,0.0,,,,,0.0,,,
165,IT5 0,IT5 0 PHS,PHS,820.2274198021634,0.0,0.0,0.0,const,13533.501004814105,1.0,const,const,0.67,820.2274198021634,0.8660254037844386,1.5,
166,IT5 0,IT5 0 biomass,RES_other,205.06666666666663,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
167,IT5 0,IT5 0 CCGT,fossil_gas,5194.532515986664,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
168,IT5 0,IT5 0 coal,fossil_other,2481.455397871262,0.0,94.86859632034631,1.0,const,0.0,,,,,0.0,,,
169,IT5 0,IT5 0 hydro,hydro,93.78611614379706,0.0,0.0,0.9,inflow_IT_1,176625.8981443684,1.0,const,const,0.67,0.0,0.0,0.0,
170,IT5 0,IT5 0 ror,ror,139.3564664601844,0.0,0.0,0.9,gen_ror_IT_1,0.0,,,,,0.0,,,
171,IT5 0,IT5 0 solar-hsat,solar,230.84509315527592,0.0,0.01,1.0,gen_sol_IT_4,0.0,,,,,0.0,,,
172,IT5 0,IT5 0 onwind,wind_on,1124.6311944288373,0.0,0.015,1.0,gen_wind_IT_7,0.0,,,,,0.0,,,
173,LT0 0,LT0 0 PHS,PHS,900.0,0.0,0.0,0.0,const,10800.0,1.0,const,const,0.67,900.0,0.8660254037844386,1.5,
174,LT0 0,LT0 0 biomass,RES_other,96.0,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
175,LT0 0,LT0 0 CCGT,fossil_gas,1709.9999999999998,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
176,LT0 0,LT0 0 ror,ror,128.0,0.0,0.0,0.9,gen_ror_LT_1,0.0,,,,,0.0,,,
177,LT0 0,LT0 0 solar-hsat,solar,82.0,0.0,0.01,1.0,gen_sol_LT_2,0.0,,,,,0.0,,,
178,LT0 0,LT0 0 onwind,wind_on,525.0,0.0,0.015,1.0,gen_wind_LT_4,0.0,,,,,0.0,,,
179,LU0 0,LU0 0 PHS,PHS,2585.0,0.0,0.0,0.0,const,15510.0,1.0,const,const,0.67,2585.0,0.8660254037844386,1.5,
180,LU0 0,LU0 0 solar-hsat,solar,136.0,0.0,0.01,1.0,gen_sol_LU_2,0.0,,,,,0.0,,,
181,LU0 0,LU0 0 onwind,wind_on,154.0,0.0,0.015,1.0,gen_wind_LU_1,0.0,,,,,0.0,,,
182,LV0 0,LV0 0 CCGT,fossil_gas,1110.0,0.0,46.80312068965518,1.0,const,0.0,,,,,0.0,,,
183,LV0 0,LV0 0 ror,ror,1539.0,0.0,0.0,0.9,gen_ror_LV_1,0.0,,,,,0.0,,,
184,LV0 0,LV0 0 onwind,wind_on,59.0,0.0,0.015,1.0,gen_wind_LV_4,0.0,,,,,0.0,,,
185,ME0 0,ME0 0 PHS,PHS,307.0,0.0,0.0,0.0,const,1842.0,1.0,const,const,0.67,307.0,0.8660254037844386,1.5,
186,ME0 0,ME0 0 lignite,fossil_other,210.0,0.0,13.256654545454548,1.0,const,0.0,,,,,0.0,,,
