,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband
22,BE0 0,BE0 0 nuclear,nuclear,5943,0,14.01327117,0.883,const,0,,,,,0,,
23,BE0 0,BE0 0 ror,ror,172.49,0,0,0.9,gen_ror_BE_1,0,,,,,0,,
24,BE0 0,BE0 0 solar-hsat,solar,3369.05,0,0.01,1,gen_sol_BE_2,0,,,,,0,,
25,BE0 0,BE0 0 offwind-dc,wind_off,1548.2,0,0.015,1,gen_wind_BE_2,0,,,,,0,,
26,BE0 0,BE0 0 onwind,wind_on,2248.08,0,0.015,1,gen_wind_BE_4,0,,,,,0,,
27,BG0 0,BG0 0 PHS,PHS,864,0,0,0,const,27340,1,const,const,0.67,864,0.866025404,1.5
28,BG0 0,BG0 0 CCGT,fossil_gas,1232,0,46.80312069,1,const,0,,,,,0,,
29,BG0 0,BG0 0 coal,fossil_other,4475,0,22.73498788,1,const,0,,,,,0,,
30,BG0 0,BG0 0 hydro,hydro,1810,0,0,0.9,inflow_BG_1,3747800.212,1,const,const,0.67,0,0,0
31,BG0 0,BG0 0 nuclear,nuclear,2000,0,14.01327117,0.876,const,0,,,,,0,,
32,BG0 0,BG0 0 ror,ror,537,0,0,0.9,gen_ror_BG_1,0,,,,,0,,
33,BG0 0,BG0 0 solar-hsat,solar,1059,0,0.01,1,gen_sol_BG_2,0,,,,,0,,
35,BG0 0,BG0 0 onwind,wind_on,700,0,0.015,1,gen_wind_BG_3,0,,,,,0,,
36,CH0 0,CH0 0 PHS,PHS,6640.7,0,0,0,const,450073.478,1,const,const,0.67,6640.7,0.866025404,1.5
37,CH0 0,CH0 0 biomass,RES_other,86.3972,0,15.82820513,1,const,0,,,,,0,,
38,CH0 0,CH0 0 CCGT,fossil_gas,55,0,46.80312069,1,const,0,,,,,0,,
39,CH0 0,CH0 0 hydro,hydro,5418.8,0,0,0.9,inflow_CH_1,3256149.97,1,const,const,0.67,0,0,0
